Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
268,2008-11-06,21.771020889282227,23.248341986865448,21.320050251511635,22.08203541315191,4896229
269,2008-11-07,23.466053009033203,24.16583572583042,21.46000753351931,21.61551480391869,8250147
270,2008-11-10,23.994781494140625,24.539057035525897,23.46605710434976,24.196940137259784,3775177
271,2008-11-11,23.714872360229492,24.71011877516772,23.17059674636607,24.10364065584622,8900004
272,2008-11-12,22.71963119506836,24.228053514326533,22.43971877524075,24.228053514326533,5705390
273,2008-11-14,22.64187240600586,23.637121028127048,22.361960049286274,22.51746738284231,4038880
274,2008-11-17,23.574914932250977,24.352453660583475,21.460014906378323,24.352453660583475,5361538
275,2008-11-18,22.299745559692383,23.512701266225136,21.86432399409447,23.512701266225136,6392448
276,2008-11-19,21.755477905273438,23.092841151958517,21.475563490365687,22.393058278493363,5606729
277,2008-11-20,21.522218704223633,21.926536043421816,20.60472384120455,21.771028725513904,5080395
278,2008-11-21,22.89068603515625,23.606020237405303,20.837988256389995,21.38226395887463,8350092
279,2008-11-24,23.466053009033203,23.839270036151248,22.29974848103784,23.574906832791363,5420119
280,2008-11-25,22.89068603515625,23.994788596322902,22.704078488397805,23.714876221583562,5453771
281,2008-11-26,23.403858184814453,23.761524180147006,22.470814256952444,23.13949489490567,5246053
282,2008-11-27,23.403858184814453,23.403858184814453,23.403858184814453,23.403858184814453,0
283,2008-11-28,23.030635833740234,23.481608692345738,22.113143183051307,22.704072190202112,8464961
284,2008-12-01,22.84402847290039,24.383550334345156,22.75072367025467,23.481608830242944,5733003
285,2008-12-02,22.64187240600586,22.89068456153616,21.926538249807454,22.672974716398347,5879324
286,2008-12-03,23.326101303100586,23.621564750949606,22.15979655432597,22.85957940359074,6430656
287,2008-12-04,24.445755004882812,24.570162122530768,20.682477134384477,20.682477134384477,4648185
288,2008-12-05,24.150287628173828,25.316592303523816,23.34164887625013,23.34164887625013,5338962
289,2008-12-08,24.212499618530273,25.005587530659042,23.17060163210525,24.803428817992476,11709287
290,2008-12-10,23.823719024658203,25.347691548882036,23.48160429332805,25.347691548882036,11172070
291,2008-12-11,23.559368133544922,24.243600001777633,23.186148833415018,24.243600001777633,9867592
292,2008-12-12,22.828474044799805,23.092837262823327,22.330849908238743,22.983981323824825,9847702
